d
"(:Document {NumberWords: 280, Identifier: bg_CURLICAT_bg-bnc-01351, PublicationDate: N/A, NumberTokens: 313, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 14, URL: http//setimes.com/})"
"(:Document {NumberWords: 384, Identifier: bg_CURLICAT_bg-bnc-05782, PublicationDate: N/A, NumberTokens: 427, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 16, URL: http//setimes.com/})"
"(:Document {NumberWords: 351, Identifier: bg_CURLICAT_bg-bnc-06381, PublicationDate: N/A, NumberTokens: 394, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EDUCATION AND COMMUNICATIONS|POLITICS, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 15, URL: http//setimes.com/})"
"(:Document {NumberWords: 483, Identifier: bg_CURLICAT_bg-bnc-06455, PublicationDate: N/A, NumberTokens: 602, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 29, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 40, URL: http//setimes.com/})"
"(:Document {NumberWords: 200, Identifier: bg_CURLICAT_bg-bnc-06582, PublicationDate: N/A, NumberTokens: 227, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|GEOGRAPHY|BUSINESS AND COMPETITION, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 11, URL: http//setimes.com/})"
"(:Document {NumberWords: 381, Identifier: bg_CURLICAT_bg-bnc-06616, PublicationDate: N/A, NumberTokens: 441, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 20, URL: http//setimes.com/})"
"(:Document {NumberWords: 174, Identifier: bg_CURLICAT_bg-bnc-06708, PublicationDate: N/A, NumberTokens: 204, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 12, URL: http//setimes.com/})"
"(:Document {NumberWords: 331, Identifier: bg_CURLICAT_bg-bnc-07309, PublicationDate: N/A, NumberTokens: 371, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|POLITICS, NumberParagraphs: 11, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 17, URL: http//setimes.com/})"
"(:Document {NumberWords: 205, Identifier: bg_CURLICAT_bg-bnc-07599, PublicationDate: N/A, NumberTokens: 225, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: INTERNATIONAL ORGANISATIONS|TRANSPORT|EUROPEAN UNION, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 14, URL: http//setimes.com/})"
"(:Document {NumberWords: 189, Identifier: bg_CURLICAT_bg-bnc-08049, PublicationDate: N/A, NumberTokens: 208, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 9, URL: http//setimes.com/})"
"(:Document {NumberWords: 660, Identifier: bg_CURLICAT_bg-bnc-08136, PublicationDate: N/A, NumberTokens: 736, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 14, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 28, URL: http//setimes.com/})"
"(:Document {NumberWords: 363, Identifier: bg_CURLICAT_bg-bnc-08335, PublicationDate: N/A, NumberTokens: 445, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|EUROPEAN UNION, NumberParagraphs: 25, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 29, URL: http//setimes.com/})"
"(:Document {NumberWords: 203, Identifier: bg_CURLICAT_bg-bnc-08773, PublicationDate: N/A, NumberTokens: 226, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: TRANSPORT, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 366, Identifier: bg_CURLICAT_bg-bnc-09364, PublicationDate: N/A, NumberTokens: 414, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|EUROPEAN UNION|FINANCE, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 23, URL: http//setimes.com/})"
"(:Document {NumberWords: 153, Identifier: bg_CURLICAT_bg-bnc-10500, PublicationDate: N/A, NumberTokens: 171, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 150, Identifier: bg_CURLICAT_bg-bnc-10994, PublicationDate: N/A, NumberTokens: 169, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS|GEOGRAPHY, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 9, URL: http//setimes.com/})"
"(:Document {NumberWords: 418, Identifier: bg_CURLICAT_bg-bnc-11598, PublicationDate: N/A, NumberTokens: 473, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 9, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 21, URL: http//setimes.com/})"
"(:Document {NumberWords: 484, Identifier: bg_CURLICAT_bg-bnc-11959, PublicationDate: N/A, NumberTokens: 591, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|GEOGRAPHY, NumberParagraphs: 22, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 35, URL: http//setimes.com/})"
"(:Document {NumberWords: 444, Identifier: bg_CURLICAT_bg-bnc-12067, PublicationDate: N/A, NumberTokens: 486, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS, NumberParagraphs: 14, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 24, URL: http//setimes.com/})"
"(:Document {NumberWords: 528, Identifier: bg_CURLICAT_bg-bnc-12522, PublicationDate: N/A, NumberTokens: 603, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|INTERNATIONAL RELATIONS, NumberParagraphs: 13, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 23, URL: http//setimes.com/})"
"(:Document {NumberWords: 185, Identifier: bg_CURLICAT_bg-bnc-12561, PublicationDate: N/A, NumberTokens: 207, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EDUCATION AND COMMUNICATIONS|EUROPEAN UNION, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 280, Identifier: bg_CURLICAT_bg-bnc-12730, PublicationDate: N/A, NumberTokens: 309, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 12, URL: http//setimes.com/})"
"(:Document {NumberWords: 325, Identifier: bg_CURLICAT_bg-bnc-13138, PublicationDate: N/A, NumberTokens: 366, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|LAW, NumberParagraphs: 10, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 21, URL: http//setimes.com/})"
"(:Document {NumberWords: 444, Identifier: bg_CURLICAT_bg-bnc-13195, PublicationDate: N/A, NumberTokens: 510, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: INTERNATIONAL ORGANISATIONS, NumberParagraphs: 11, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 17, URL: http//setimes.com/})"
"(:Document {NumberWords: 161, Identifier: bg_CURLICAT_bg-bnc-13835, PublicationDate: N/A, NumberTokens: 183, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 510, Identifier: bg_CURLICAT_bg-bnc-14016, PublicationDate: N/A, NumberTokens: 565, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EDUCATION AND COMMUNICATIONS, NumberParagraphs: 10, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 24, URL: http//setimes.com/})"
"(:Document {NumberWords: 280, Identifier: bg_CURLICAT_bg-bnc-14501, PublicationDate: N/A, NumberTokens: 316, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 15, URL: http//setimes.com/})"
"(:Document {NumberWords: 322, Identifier: bg_CURLICAT_bg-bnc-14594, PublicationDate: N/A, NumberTokens: 357, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|INTERNATIONAL RELATIONS|POLITICS, NumberParagraphs: 9, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 16, URL: http//setimes.com/})"
"(:Document {NumberWords: 336, Identifier: bg_CURLICAT_bg-bnc-15865, PublicationDate: N/A, NumberTokens: 373, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 9, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 16, URL: http//setimes.com/})"
"(:Document {NumberWords: 513, Identifier: bg_CURLICAT_bg-bnc-16525, PublicationDate: N/A, NumberTokens: 618, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 29, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 53, URL: http//setimes.com/})"
"(:Document {NumberWords: 106, Identifier: bg_CURLICAT_bg-bnc-17071, PublicationDate: N/A, NumberTokens: 121, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 377, Identifier: bg_CURLICAT_bg-bnc-17224, PublicationDate: N/A, NumberTokens: 423, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 12, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 17, URL: http//setimes.com/})"
"(:Document {NumberWords: 326, Identifier: bg_CURLICAT_bg-bnc-17900, PublicationDate: N/A, NumberTokens: 367, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 18, URL: http//setimes.com/})"
"(:Document {NumberWords: 156, Identifier: bg_CURLICAT_bg-bnc-18096, PublicationDate: N/A, NumberTokens: 174, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS|EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 175, Identifier: bg_CURLICAT_bg-bnc-18236, PublicationDate: N/A, NumberTokens: 197, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: SCIENCE|GEOGRAPHY, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 11, URL: http//setimes.com/})"
"(:Document {NumberWords: 198, Identifier: bg_CURLICAT_bg-bnc-2001042220306, PublicationDate: 2001-04-22, NumberTokens: 242, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|AGRICULTURE, FORESTRY AND FISHERIES, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 13, URL: http//setimes.com/})"
"(:Document {NumberWords: 122, Identifier: bg_CURLICAT_bg-bnc-2001061714781, PublicationDate: 2001-06-17, NumberTokens: 145, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 118, Identifier: bg_CURLICAT_bg-bnc-2001062433709, PublicationDate: 2001-06-24, NumberTokens: 143, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|LAW, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 10, URL: http//setimes.com/})"
"(:Document {NumberWords: 205, Identifier: bg_CURLICAT_bg-bnc-2001111710460, PublicationDate: 2001-11-17, NumberTokens: 245, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 11, URL: http//setimes.com/})"
"(:Document {NumberWords: 105, Identifier: bg_CURLICAT_bg-bnc-2001111815032, PublicationDate: 2001-11-18, NumberTokens: 120, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 11, URL: http//setimes.com/})"
"(:Document {NumberWords: 116, Identifier: bg_CURLICAT_bg-bnc-2002062414638, PublicationDate: 2002-06-24, NumberTokens: 132, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 10, URL: http//setimes.com/})"
"(:Document {NumberWords: 69, Identifier: bg_CURLICAT_bg-bnc-2002100507726, PublicationDate: 2002-10-05, NumberTokens: 83, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 101, Identifier: bg_CURLICAT_bg-bnc-2002100524529, PublicationDate: 2002-10-05, NumberTokens: 111, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 118, Identifier: bg_CURLICAT_bg-bnc-2002102030260, PublicationDate: 2002-10-20, NumberTokens: 135, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: AGRICULTURE, FORESTRY AND FISHERIES, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 10, URL: http//setimes.com/})"
"(:Document {NumberWords: 174, Identifier: bg_CURLICAT_bg-bnc-2002102624495, PublicationDate: 2002-10-26, NumberTokens: 199, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|SOCIAL QUESTIONS, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 12, URL: http//setimes.com/})"
"(:Document {NumberWords: 218, Identifier: bg_CURLICAT_bg-bnc-2002102804760, PublicationDate: 2002-10-28, NumberTokens: 249, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|EUROPEAN UNION, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Групата за законодателни реформи насочва вниманието си към пакет закони за имунитета, NumberSentences: 10, URL: http//setimes.com/})"
"(:Document {NumberWords: 119, Identifier: bg_CURLICAT_bg-bnc-2002102805156, PublicationDate: 2002-10-28, NumberTokens: 143, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: В Косово е убит кмет, етнически албанец, NumberSentences: 9, URL: http//setimes.com/})"
"(:Document {NumberWords: 77, Identifier: bg_CURLICAT_bg-bnc-2002102805709, PublicationDate: 2002-10-28, NumberTokens: 91, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|LAW|BUSINESS AND COMPETITION|INTERNATIONAL ORGANISATIONS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: МВФ предвижда слаб растеж за Албания през 2002, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 75, Identifier: bg_CURLICAT_bg-bnc-2002102814022, PublicationDate: 2002-10-28, NumberTokens: 91, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Българска заложничка почина в московска болница, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 100, Identifier: bg_CURLICAT_bg-bnc-2002102814957, PublicationDate: 2002-10-28, NumberTokens: 113, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Ашдаун вижда региона замесен в скандала с оръжието за Ирак, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 430, Identifier: bg_CURLICAT_bg-bnc-2002102815562, PublicationDate: 2002-10-28, NumberTokens: 505, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|EUROPEAN UNION, NumberParagraphs: 11, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Турският прокурор иска забрана за водеща партия, NumberSentences: 20, URL: http//setimes.com/})"
"(:Document {NumberWords: 74, Identifier: bg_CURLICAT_bg-bnc-2002102816854, PublicationDate: 2002-10-28, NumberTokens: 84, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Съобщение Хърватският министър-председател ще обсъжда с опозицията случая Бобетко, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 93, Identifier: bg_CURLICAT_bg-bnc-2002102823513, PublicationDate: 2002-10-28, NumberTokens: 105, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: BUSINESS AND COMPETITION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Европейски и български парламентаристи ще посетят атомната електроцентрала в Козлодуй, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 30, Identifier: bg_CURLICAT_bg-bnc-2002102832469, PublicationDate: 2002-10-28, NumberTokens: 32, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 1, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Полицейски служители от Босна и Херцеговина получиха официални дипломи за правоспособност по стандартите на ООН, NumberSentences: 2, URL: http//setimes.com/})"
"(:Document {NumberWords: 982, Identifier: bg_CURLICAT_bg-bnc-2002102832547, PublicationDate: 2002-10-28, NumberTokens: 1151, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 19, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Българската полиция взема решителни мерки срещу проституцията и сексуалната експлоатация, NumberSentences: 37, URL: http//setimes.com/})"
"(:Document {NumberWords: 133, Identifier: bg_CURLICAT_bg-bnc-2002102903393, PublicationDate: 2002-10-29, NumberTokens: 152, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Румънският министър-председател Настасе е на посещение в България, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 130, Identifier: bg_CURLICAT_bg-bnc-2002102903703, PublicationDate: 2002-10-29, NumberTokens: 155, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Страните от Централна Европа обединяват усилията си срещу нелегалната имиграция, NumberSentences: 5, URL: http//setimes.com/})"
